"","workerid","utterance","response","feedback","orig_obj1","orig_obj2","orig_obj3","object1shape","object1pattern","object1color","object2shape","object2pattern","object2color","object3shape","object3pattern","object3color","preferenceDimension","Pref1","Pref2","Pref3","uttFeat","targetFeat","obj1OC27","obj2OC27","obj3OC27","targetObject","object2","object3"
"118",6,"plain",1,"Good",113,223,111,"cloud","plain","green","circle","striped","green","cloud","plain","blue","color","blue","red","green",1,3,19,23,1,19,23,1
"119",6,"circle",1,"VeryGood",221,331,222,"circle","striped","blue","square","dotted","blue","circle","striped","red","color","blue","red","green",1,3,5,9,14,5,9,14
"120",6,"striped",2,"Good",222,223,332,"circle","striped","red","circle","striped","green","square","dotted","red","color","blue","red","green",2,3,14,23,18,23,14,18
"121",7,"plain",1,"Bad",332,111,113,"square","dotted","red","cloud","plain","blue","cloud","plain","green","color","green","red","blue",1,3,18,1,19,18,1,19
"122",7,"dotted",1,"Good",131,132,222,"cloud","dotted","blue","cloud","dotted","red","circle","striped","red","color","green","red","blue",1,3,7,16,14,7,16,14
"123",7,"cloud",3,"VeryGood",333,122,123,"square","dotted","green","cloud","striped","red","cloud","striped","green","color","green","red","blue",1,3,27,13,22,22,27,13
"124",7,"cloud",2,"Good",223,111,113,"circle","striped","green","cloud","plain","blue","cloud","plain","green","color","green","red","blue",1,3,23,1,19,1,23,19
"125",7,"circle",2,"Good",232,231,111,"circle","dotted","red","circle","dotted","blue","cloud","plain","blue","color","green","red","blue",1,3,17,8,1,8,17,1
"126",7,"dotted",2,"Good",113,331,333,"cloud","plain","green","square","dotted","blue","square","dotted","green","color","green","red","blue",1,3,19,9,27,9,19,27
"127",7,"plain",2,"Bad",211,333,212,"circle","plain","blue","square","dotted","green","circle","plain","red","color","green","red","blue",1,3,2,27,11,27,2,11
"128",7,"circle",2,"VeryGood",131,212,211,"cloud","dotted","blue","circle","plain","red","circle","plain","blue","color","green","red","blue",1,3,7,11,2,11,7,2
"129",7,"dotted",3,"VeryGood",231,312,233,"circle","dotted","blue","square","plain","red","circle","dotted","green","color","green","red","blue",1,3,8,12,26,26,8,12
"130",7,"dotted",2,"VeryGood",331,333,222,"square","dotted","blue","square","dotted","green","circle","striped","red","color","green","red","blue",1,3,9,27,14,27,9,14
"131",7,"dotted",3,"VeryGood",221,132,133,"circle","striped","blue","cloud","dotted","red","cloud","dotted","green","color","green","red","blue",1,3,5,16,25,25,5,16
"132",7,"plain",2,"VeryGood",333,113,111,"square","dotted","green","cloud","plain","green","cloud","plain","blue","color","green","red","blue",1,3,27,19,1,19,27,1
"133",7,"plain",2,"VeryGood",132,212,211,"cloud","dotted","red","circle","plain","red","circle","plain","blue","color","green","red","blue",1,3,16,11,2,11,16,2
"134",7,"circle",2,"VeryGood",212,213,322,"circle","plain","red","circle","plain","green","square","striped","red","color","green","red","blue",1,3,11,20,15,20,11,15
"135",7,"dotted",1,"VeryGood",233,113,232,"circle","dotted","green","cloud","plain","green","circle","dotted","red","color","green","red","blue",1,3,26,19,17,26,19,17
"136",7,"circle",1,"VeryGood",232,323,231,"circle","dotted","red","square","striped","green","circle","dotted","blue","color","green","red","blue",1,3,17,24,8,17,24,8
"137",7,"plain",2,"VeryGood",232,112,111,"circle","dotted","red","cloud","plain","red","cloud","plain","blue","color","green","red","blue",1,3,17,10,1,10,17,1
"138",7,"cloud",2,"VeryGood",131,132,212,"cloud","dotted","blue","cloud","dotted","red","circle","plain","red","color","green","red","blue",1,3,7,16,11,16,7,11
"139",7,"striped",2,"VeryGood",113,322,321,"cloud","plain","green","square","striped","red","square","striped","blue","color","green","red","blue",2,3,19,15,6,15,19,6
"140",7,"circle",1,"VeryGood",213,212,123,"circle","plain","green","circle","plain","red","cloud","striped","green","color","green","red","blue",1,3,20,11,22,20,11,22
"141",8,"square",2,"VeryGood",211,313,333,"circle","plain","blue","square","plain","green","square","dotted","green","pattern","striped","plain","dotted",1,2,2,21,27,21,2,27
"142",8,"square",2,"Good",123,331,321,"cloud","striped","green","square","dotted","blue","square","striped","blue","pattern","striped","plain","dotted",1,2,22,9,6,9,22,6
"143",8,"green",1,"Good",113,123,311,"cloud","plain","green","cloud","striped","green","square","plain","blue","pattern","striped","plain","dotted",3,2,19,22,3,19,22,3
"144",8,"green",3,"Good",123,321,113,"cloud","striped","green","square","striped","blue","cloud","plain","green","pattern","striped","plain","dotted",3,2,22,6,19,19,22,6
"145",8,"square",1,"Good",332,233,322,"square","dotted","red","circle","dotted","green","square","striped","red","pattern","striped","plain","dotted",1,2,18,26,15,18,26,15
"146",8,"blue",1,"Good",311,321,223,"square","plain","blue","square","striped","blue","circle","striped","green","pattern","striped","plain","dotted",3,2,3,6,23,3,6,23
"147",8,"circle",3,"Good",222,121,212,"circle","striped","red","cloud","striped","blue","circle","plain","red","pattern","striped","plain","dotted",1,2,14,4,11,11,14,4
