"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"461","111","213","122","331","20","13","9","0.057","0.066","0.113","0.142","0.066","0.132","0.132","0.16","0.132","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"462","321","221","121","331","5","4","9","0.162","0.235","0.206","0.088","0.206","0.103","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"463","211","212","313","131","11","21","7","0.151","0.086","0.14","0.075","0.129","0.151","0.086","0.183","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"464","211","113","321","231","19","6","8","0.054","0.129","0.161","0.129","0.065","0.14","0.183","0.14","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"465","22a2a","122","213","213","13","20","20","0.082","0.197","0.246","0.098","0.246","0.131","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"466","111","223","131","312","23","7","12","0","0","0","0","1","0","0","0","0","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"467","22a2a","331","331","112","9","9","10","0","0","0","0","0","1","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"468","22a2a","321","321","112","6","6","10","0","0","0","0","0","1","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"469","332","211","311","311","2","3","3","0","0","1","0","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"470","111","331","212","123","9","11","22","0","0","0","0","0","0","0","1","0","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"471","321","121","331","311","4","9","3","0","0","0","1","0","0","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"472","322b","122","123","132","13","22","16","0","0","0","0","1","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"473","332","133","233","233","25","26","26","0","0","1","0","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"474","111","233","321","112","26","6","10","0","0","0","0","0","0","0","0","1","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"475","22a2b","123","221","113","22","5","19","0","0","0","1","0","0","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"476","22a1","232","311","313","17","3","21","0","0","0","1","0","0","0","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"477","332","223","233","233","23","26","26","0","0","1","0","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"478","22a2b","132","112","331","16","10","9","0","0","0","1","0","0","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"479","322a","323","323","312","24","24","12","0","0","0","0","1","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"480","211","123","332","231","22","18","8","0","0","0","0","1","0","0","0","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"481","111","331","212","123","9","11","22","0","0","0.333","0","0","0.333","0","0","0.333","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"482","22a2b","213","223","312","20","23","12","0","0","0","0","0","1","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"483","322b","312","322","222","12","15","14","0","0","1","0","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"484","332","132","132","112","16","16","10","0","0","0","1","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"485","332","211","221","221","2","5","5","0","0","1","0","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"486","211","111","332","233","1","18","26","0","1","0","0","0","0","0","0","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"487","321","123","111","112","22","1","10","0","1","0","0","0","0","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"488","322a","231","311","311","8","3","3","0","0","1","0","0","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"489","111","322","133","211","15","25","2","0","0","0","0","0","1","0","0","0","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"490","211","112","232","323","10","17","24","0","0","1","0","0","0","0","0","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"491","22a2a","323","323","112","24","24","10","0","1","0","0","0","0","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"492","22a1","312","123","121","12","22","4","0","1","0","0","0","0","0","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"493","111","321","112","233","6","10","26","0","1","0","0","0","0","0","0","0","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"494","333","313","313","313","21","21","21","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"495","321","222","332","312","14","18","12","0","1","0","0","0","0","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"496","22a1","333","122","222","27","13","14","0.233","0.105","0.233","0.105","0.105","0.116","0.105","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"497","331","223","233","213","23","26","20","0","0.032","0.323","0.323","0.323","-1","-1","-1","-1","0.217","0.217","0.189","0.189","0.189","-1","-1","-1","-1","0.199","0.199","0.201","0.201","0.201","-1","-1","-1","-1"
"498","22a2a","312","312","221","12","12","5","0.21","0.235","0.222","0.123","0.173","0.037","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"499","321","313","233","133","21","26","25","0.206","0.059","0.25","0.191","0.147","0.147","-1","-1","-1","0.189","0.171","0.164","0.171","0.152","0.152","-1","-1","-1","0.166","0.18","0.156","0.18","0.16","0.16","-1","-1","-1"
"500","22a2a","131","213","213","7","20","20","0.215","0.127","0.228","0.165","0.203","0.063","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"501","322b","311","312","332","3","12","18","0.242","0.242","0.106","0.227","0.182","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"502","111","133","311","222","25","3","14","0.105","0.095","0.105","0.126","0.137","0.116","0.126","0.063","0.126","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"503","22a2b","323","331","123","24","9","22","0.241","0.133","0.205","0.157","0.205","0.06","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"504","333","233","233","233","26","26","26","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"505","22b1","332","311","221","18","3","5","0.267","0.2","0.05","0.067","0.183","0.067","0.167","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"506","22b2b","221","311","323","5","3","24","0.227","0.152","0.227","0.076","0.076","0.242","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"507","211","132","212","321","16","11","6","0.156","0.089","0.133","0.133","0.144","0.111","0.111","0.122","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"508","322a","322","322","123","15","15","22","0.246","0.279","0.131","0.246","0.098","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"509","111","211","122","333","2","13","27","0.103","0.085","0.12","0.128","0.111","0.103","0.137","0.111","0.103","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"510","321","322","312","232","15","12","17","0.185","0.163","0.196","0.174","0.152","0.13","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"511","322a","312","122","122","12","13","13","0.486","0","0","0.514","0","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"512","22b2b","321","332","231","6","18","8","0.333","0","0.333","0","0","0.333","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"513","22a2a","222","313","313","14","21","21","0.25","0","0","0","0.25","0.5","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"514","22a2a","231","122","122","8","13","13","1","0","0","0","0","0","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"515","322a","222","211","211","14","2","2","1","0","0","0","0","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"516","332","131","131","231","7","7","8","0.4","0.4","0.2","0","-1","-1","-1","-1","-1","0.256","0.256","0.224","0.263","-1","-1","-1","-1","-1","0.245","0.245","0.231","0.278","-1","-1","-1","-1","-1"
"517","322b","132","332","131","16","18","7","0.333","0.333","0","0.333","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"518","332","332","312","312","18","12","12","0.541","0.459","0","0","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"519","333","313","313","313","21","21","21","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"520","22a2b","132","111","211","16","1","2","0.333","0","0.333","0","0.333","0","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"521","333","332","332","332","18","18","18","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"522","22a2b","111","321","322","1","6","15","0.333","0","0.333","0","0.333","0","-1","-1","-1","0.157","0.176","0.157","0.176","0.176","0.158","-1","-1","-1","0.151","0.185","0.151","0.185","0.166","0.162","-1","-1","-1"
"523","111","111","223","332","1","23","18","0","1","0","0","0","0","0","0","0","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111","0.111"
"524","321","311","331","323","3","9","24","0.5","0","0","0","0.5","0","-1","-1","-1","0.189","0.152","0.152","0.171","0.164","0.171","-1","-1","-1","0.166","0.16","0.16","0.18","0.156","0.18","-1","-1","-1"
"525","322b","211","231","233","2","8","26","0.333","0.333","0","0.333","0","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"526","322a","223","321","321","23","6","6","0.305","0.034","0.051","0.322","0.288","-1","-1","-1","-1","0.213","0.171","0.222","0.171","0.222","-1","-1","-1","-1","0.194","0.169","0.235","0.169","0.235","-1","-1","-1","-1"
"527","333","211","211","211","2","2","2","0.34","0.32","0.34","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
"528","22b1","332","222","213","18","14","20","0.162","0.153","0.144","0.153","0.117","0.162","0.108","-1","-1","0.152","0.142","0.152","0.142","0.128","0.142","0.142","-1","-1","0.139","0.147","0.139","0.147","0.133","0.147","0.147","-1","-1"
"529","22b2b","133","122","232","25","13","17","0.146","0.146","0.171","0.146","0.195","0.195","-1","-1","-1","0.176","0.157","0.176","0.157","0.157","0.176","-1","-1","-1","0.166","0.167","0.166","0.167","0.167","0.166","-1","-1","-1"
"530","321","112","312","232","10","12","17","0.179","0.064","0.167","0.231","0.167","0.192","-1","-1","-1","0.189","0.164","0.171","0.152","0.152","0.171","-1","-1","-1","0.166","0.156","0.18","0.16","0.16","0.18","-1","-1","-1"
"531","22a1","213","211","332","20","2","18","0.196","0.13","0.141","0.13","0.141","0.163","0.098","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"532","211","322","223","131","15","23","7","0.147","0.069","0.137","0.078","0.137","0.176","0.137","0.118","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"533","22a1","122","211","311","13","2","3","0.149","0.161","0.126","0.172","0.161","0.149","0.08","-1","-1","0.137","0.156","0.137","0.156","0.128","0.128","0.156","-1","-1","0.126","0.162","0.126","0.162","0.13","0.13","0.162","-1","-1"
"534","321","113","333","323","19","27","24","0.143","0.182","0.195","0.182","0.13","0.169","-1","-1","-1","0.189","0.171","0.152","0.152","0.171","0.164","-1","-1","-1","0.166","0.18","0.16","0.16","0.18","0.156","-1","-1","-1"
"535","332","133","123","123","25","22","22","0.263","0.316","0.193","0.228","-1","-1","-1","-1","-1","0.256","0.256","0.263","0.224","-1","-1","-1","-1","-1","0.245","0.245","0.278","0.231","-1","-1","-1","-1","-1"
"536","22a2a","332","332","221","18","18","5","0.176","0.095","0.135","0.176","0.189","0.23","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"537","22a2a","222","313","313","14","21","21","0.148","0.16","0.16","0.198","0.16","0.173","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"538","211","311","123","233","3","22","26","0.14","0.151","0.097","0.14","0.097","0.151","0.151","0.075","-1","0.134","0.13","0.119","0.119","0.13","0.119","0.119","0.13","-1","0.119","0.133","0.12","0.12","0.133","0.12","0.12","0.133","-1"
"539","22a2a","211","211","133","2","2","25","0.2","0.187","0.187","0.093","0.133","0.2","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"540","22a2a","222","131","131","14","7","7","0.145","0.188","0.188","0.116","0.188","0.174","-1","-1","-1","0.139","0.194","0.139","0.194","0.139","0.194","-1","-1","-1","0.13","0.203","0.13","0.203","0.13","0.203","-1","-1","-1"
"541","322b","123","133","132","22","25","16","0.323","0.29","0.032","0.242","0.113","-1","-1","-1","-1","0.214","0.196","0.197","0.196","0.197","-1","-1","-1","-1","0.197","0.193","0.208","0.193","0.208","-1","-1","-1","-1"
"542","333","323","323","323","24","24","24","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1","0.333","0.333","0.333","-1","-1","-1","-1","-1","-1"
